Kabbeleksgatan 1;143
Kabbeleksgatan 2;136
Kabbeleksgatan 3;211
Kabbeleksgatan 4;165
Kabbeleksgatan 5;74
Kabbeleksgatan 6;144
Konvaljegatan 1;150
Konvaljegatan 2;144
Konvaljegatan 3;150
Konvaljegatan 5;151
Lantmätaregatan 12;168
Lantmätaregatan 15;117
Lantmätaregatan 16;92
Lantmätaregatan 17;119
Långängen 17;112
Långängen 18;133
Långängen 41;137
Smörbollsgatan 1;203
Smörbollsgatan 2;182
Smörbollsgatan 3;138
Smörbollsgatan 5;157
Tjärblomsgatan 1;175
Tjärblomsgatan 2;150
Tjärblomsgatan 3;178
Tjärblomsgatan 4;150
Tjärblomsgatan 6;150
Vårlöksgatan 1;138
Vårlöksgatan 2;103
Vårlöksgatan 3;145
Vårlöksgatan 4;147
Vårlöksgatan 6;123
